lat,lon
42.410799067564696,-83.49793293077082
42.41056093839344,-83.49813822252482
42.41090410810672,-83.49775809143462
42.410286995949086,-83.4979183171845
42.41099264601001,-83.49802978566765
42.4107243915513,-83.49771441471201
42.41017744801138,-83.49799232824726
42.41065159666262,-83.49824060105436
42.41096102721866,-83.49781154613743
42.41041208389745,-83.49774421003092
42.41087109292201,-83.49816162290821
42.41048932109244,-83.49766223214209
42.41021519700852,-83.49809905924243
42.41104378958361,-83.49788839418513
42.41067085087637,-83.49778688197063
42.4103441694966,-83.49823805023216
42.41092898451778,-83.49766741517617
42.41026577697361,-83.49802777992032
42.41082639354498,-83.49808536719965
42.410582661935486,-83.49787055481305
